anio,periodo,parametro,denuncias
2020,Trimestre 4,Agresión sexual con penetración,23
2020,Trimestre 4,Homicidios dolosos y asesinatos consumados,2
2020,Trimestre 4,Hurtos,4.858
2020,Trimestre 4,Robos con fuerza en domicilios,1.07
2020,Trimestre 4,Robos con violencia e intimidación,688
2020,Trimestre 4,Secuestro,0
2020,Trimestre 4,Sustracciones de vehículos,120
2020,Trimestre 4,Tráfico de drogas,174
2021,Trimestre 4,Agresión sexual con penetración,29
2021,Trimestre 4,Homicidios dolosos y asesinatos consumados,4
2021,Trimestre 4,Hurtos,6.532
2021,Trimestre 4,Robos con fuerza en domicilios,1.04
2021,Trimestre 4,Robos con violencia e intimidación,848
2021,Trimestre 4,Secuestro,1
2021,Trimestre 4,Sustracciones de vehículos,155
2021,Trimestre 4,Tráfico de drogas,268
2022,Trimestre 4,Agresión sexual con penetración,31
2022,Trimestre 4,Homicidios dolosos y asesinatos consumados,5
2022,Trimestre 4,Hurtos,7.397
2022,Trimestre 4,Robos con fuerza en domicilios,1.075
2022,Trimestre 4,Robos con violencia e intimidación,1.009
2022,Trimestre 4,Secuestro,0
2022,Trimestre 4,Sustracciones de vehículos,190
2022,Trimestre 4,Tráfico de drogas,260
